,,,,,,,,,,
SKU,Product ID,Product Name,Keyword,,,,,,,
,,,Primary Keyword,Keyword Rank,Secondary Keywords,Keyword Rank,Long-Tail Keywords,Keyword Rank,Competitor Keywords,Keyword Rank
PHSF1BMRBM3PK+LSCY290BM3PK,267774851327,Pendant Light,Pendant Ceiling Light,,"E27, Hanging Light, Metal Shade",,Adjustable E27 Pendant Ceiling Light,,"Ceiling Pendant, Hanging Lamp", 
,,LED Downlight,LED Downlight,,"Recessed, Cool White, Ceiling Spot",,7W LED Recessed Ceiling Downlight,,LED Spot Light, 
,,Wall Light ,Wall Light,,"Wall Lamp, Indoor Wall Light, Sconce",,"Modern Indoor Wall Light, Decorative Wall Light",," Wall Sconce, LED Wall Light, Indoor Wall Lamp", 
,,Out Door Garden Light ,Outdoor Garden Light,,"Garden Light, Outdoor Lamp, Exterior Light",,"Outdoor Garden Light for Patio, Outdoor Wall Garden Light",," Garden Lighting, Exterior Garden Light", 
,,LampShade ,Metal Lamp Shade ,,"Lamp Shade, Light Shade, Ceiling Shade",,"Metal Lampshade, Pendant Light Lampshade, Decorative Lampshade",,"Metal Lamp Shade, Pendant Lampshade, Ceiling Lampshade", 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Docunment,https://docs.google.com/document/d/1KbVxhP3wZHQ4nk0_X7SBKe36GFJjQN87EnBGUMlcIhI/edit?usp=sharing,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Rank,How many times Competitors Use in the Title Specific or Des,,,,,,,,,
