product_id,sku,sot_subtype,ebay_category,ebay_category_path,product_subtype,mapping_source,mapping_status,mapping_note
265660310933,ENC1651-Pendant Light,,Ceiling Lights & Chandeliers,"Home, Furniture & DIY:Lighting:Ceiling Lights & Chandeliers",Ceiling Lights & Chandeliers,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 3 listing SKUs; eBay category leaf used
267742103780,CRSFM110080BM+WSCH135BM+LSCY290BG,,Wall Lights,"Home, Furniture & DIY:Lighting:Wall Lights",Wall Lights,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 1 listing SKUs; eBay category leaf used
267791295531,sku not assigneds,,Electrical Wires & Cables,"Home, Furniture & DIY:DIY Materials:Electrical Supplies:Electrical Wires & Cables",Electrical Wires & Cables,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 3 listing SKUs; eBay category leaf used
267784997642,LED Ceiling Spot Light,,Ceiling Lights & Chandeliers,"Home, Furniture & DIY:Lighting:Ceiling Lights & Chandeliers",Ceiling Lights & Chandeliers,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 1 listing SKUs; eBay category leaf used
267773888902,Plug-In Wall Light Bedroom Bedside Living Room,,Wall Lights,"Home, Furniture & DIY:Lighting:Wall Lights",Wall Lights,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 3 listing SKUs; eBay category leaf used
267768578649,Industrial 3 Way Black Spider Pendant Light,,Ceiling Lights & Chandeliers,"Home, Furniture & DIY:Lighting:Ceiling Lights & Chandeliers",Ceiling Lights & Chandeliers,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 3 listing SKUs; eBay category leaf used
267765767284,sku not assigneds,,Wall Lights,"Home, Furniture & DIY:Lighting:Wall Lights",Wall Lights,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 3 listing SKUs; eBay category leaf used
267761469770,LDDTCB2212APK,,Light Bulbs,"Home, Furniture & DIY:Lighting:Light Bulbs",Light Bulbs,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 1 listing SKUs; eBay category leaf used
267728257222,TPOSBDBM2PK,,Lamps,"Home, Furniture & DIY:Lighting:Lamps",Lamps,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 1 listing SKUs; eBay category leaf used
267720120199,Plug In Wall Lamp,,Lampshades & Lightshades,"Home, Furniture & DIY:Lighting:Lampshades & Lightshades",Lampshades & Lightshades,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 2 listing SKUs; eBay category leaf used
267695260771,3 HEAD PENDAN LIGHT,,Ceiling Lights & Chandeliers,"Home, Furniture & DIY:Lighting:Ceiling Lights & Chandeliers",Ceiling Lights & Chandeliers,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 2 listing SKUs; eBay category leaf used
267687534749,sku not assigneds,,Lampshades & Lightshades,"Home, Furniture & DIY:Lighting:Lampshades & Lightshades",Lampshades & Lightshades,EBAY_CATEGORY,VERIFIED,no SOT sub-type for any of 2 listing SKUs; eBay category leaf used
